RECORD_ID,VIOLATION_CATEGORY,VIOLATION,REPORTED_DATE,RECORD_STATUS,STATUS_DATE,PARCEL_NBR,STREET_NBR,STREET_DIR,STREET_NAME,STREET_TYPE,ZIP,FID
CE-16-03832,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-331-016.000-026,303,E,DAYTON,St,46613,864
CE-16-03796,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Closed,2016-05-11T04:00:00.000Z,71-08-12-151-003.000-026,115,S,LAFAYETTE,Blvd,46601,865
CE-16-03797,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-12-151-003.000-026,115,S,LAFAYETTE,Blvd,46601,866
CE-16-03833,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-14-432-002.000-026,1706,S,WILLIAM,St,46613,867
CE-16-03437,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Closed,2016-05-11T04:00:00.000Z,71-08-03-255-002.000-026,1014,N,OLIVE,St,46628,868
CE-16-03475,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-09-255-006.000-026,226,S,ILLINOIS,St,46619,869
CE-16-03798,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-02-331-023.000-026,1110,,VAN BUREN,St,46616,870
CE-16-03834,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-181-026.000-026,235,E,INDIANA,Ave,46613,871
CE-16-03438,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-03-34-480-030.000-026,1901,,ELWOOD,Ave,46628,872
CE-16-03476,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-09-255-013.000-026,326,S,ILLINOIS,St,46619,873
CE-16-03799,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-326-001.000-026,1602,S,MICHIGAN,St,46613,874
CE-16-03835,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-331-018.000-026,309,E,DAYTON,St,46613,875
CE-16-03477,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-09-18-327-004.000-026,1338,E,INDIANA,Ave,46613,876
CE-16-03439,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-12-333-015.000-026,627,,FELLOWS,St,46601,877
CE-16-03800,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-03-201-038.000-026,1301,N,ELMER,St,46628,878
CE-16-03836,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-328-016.000-026,1617,,COLUMBIA,St,46613,879
CE-16-03645,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-09-18-307-003.000-026,1212,E,INDIANA,Ave,46616,880
CE-16-03440,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-12-333-012.000-026,615,,FELLOWS,St,46617,881
CE-16-03801,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Closed,2016-05-11T04:00:00.000Z,71-08-02-154-013.000-026,1002,,LAWNDALE,Ave,46628,882
CE-16-03837,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-385-015.000-026,307,E,DONALD,St,46613,883
CE-16-03646,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-403-007.000-026,718,E,INDIANA,Ave,46618,884
CE-16-03441,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-256-004.000-026,1512,,FELLOWS,St,46613,885
CE-16-03802,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-03-251-021.000-026,1121,N,ELMER,St,46628,886
CE-16-03838,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-14-478-013.000-026,2020,S,WILLIAM,St,46613,887
CE-16-03647,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-09-18-307-006.000-026,1220,E,INDIANA,Ave,46613,888
CE-16-03803,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-03-34-457-014.000-026,1521,,OBRIEN,St,46628,889
CE-16-03442,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-09-18-462-002.000-026,1706,,FOX,St,46614,890
CE-16-03839,Environmental,Continuous Enforcement,2016-05-02T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-03-227-017.000-026,1310,N,BROOKFIELD,St,46628,891
CE-16-03648,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-13-426-005.000-026,818,E,INDIANA,Ave,46613,892
CE-16-03804,Environmental,Continuous Enforcement,2016-04-17T04:00:00.000Z,Abatement Pending,2016-05-13T04:00:00.000Z,71-08-02-477-012.000-026,422,W,NAVARRE,St,46616,893
